eqp_id;od_id;cycle_min;mov_id
CW-110;15 BAL - 11 GRADE;74;Producao Final Minerio
CW-110;15 BAL - 11 GRADE;31;Producao Final Minerio
CW-110;15 BAL - 11 GRADE;30;Producao Final Minerio
CW-110;15 BAL - 11 GRADE;38;Producao Final Minerio
CW-110;15 BAL - 11 GRADE;41;Producao Final Minerio
CW-110;15 BAL - 11 GRADE;44;Producao Final Minerio
CW-110;22 SER - 11 GRADE;87;Producao Final Minerio
CW-110;22 SER - 11 GRADE;87;Producao Final Minerio
CW-110;22 SER - 11 GRADE;113;Producao Final Minerio
CW-110;23 FGS - 11 GRADE;108;Producao Final Minerio
CW-112;15 BAL - 11 GRADE;37;Producao Final Minerio
CW-112;15 BAL - 11 GRADE;25;Producao Final Minerio
CW-113;15 BAL - 11 GRADE;85;Producao Final Minerio
CW-113;15 BAL - 11 GRADE;36;Producao Final Minerio
CW-113;15 BAL - 11 GRADE;36;Producao Final Minerio
CW-113;16 BAL - 11 GRADE;55;Producao Final Minerio
CW-113;22 SER - 11 GRADE;107;Producao Final Minerio
CW-113;22 SER - 11 GRADE;93;Producao Final Minerio
CW-113;22 SER - 11 GRADE;88;Producao Final Minerio
CW-113;22 SER - 11 GRADE;88;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;22;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;9;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;9;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;11;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;11;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;11;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;11;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;11;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;20;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;14;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;10;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;15;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;22;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;15;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;16;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;34;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;28;Producao Final Minerio
CW-114;22 SER - 11 GRADE;124;Producao Final Minerio
CW-114;22 SER - 11 GRADE;54;Producao Final Minerio
CW-114;22 SER - 11 GRADE;71;Producao Final Minerio
CW-114;22 SER - 11 GRADE;72;Producao Final Minerio
CW-115;15 BAL - 11 GRADE;55;Producao Final Minerio
CW-115;15 BAL - 11 GRADE;31;Producao Final Minerio
CW-115;15 BAL - 11 GRADE;30;Producao Final Minerio
CW-115;15 BAL - 11 GRADE;32;Producao Final Minerio
CW-115;15 BAL - 11 GRADE;38;Producao Final Minerio
CW-115;15 BAL - 11 GRADE;157;Producao Final Minerio
CW-115;15 BAL - 11 GRADE;73;Producao Final Minerio
CW-115;22 SER - 11 GRADE;92;Producao Final Minerio
CW-115;22 SER - 11 GRADE;109;Producao Final Minerio
CW-115;22 SER - 11 GRADE;85;Producao Final Minerio
CW-115;22 SER - 11 GRADE;88;Producao Final Minerio
CW-115;23 FGS - 11 GRADE;120;Producao Final Minerio
CW-117;15 BAL - 11 GRADE;45;Producao Final Minerio
CW-117;15 BAL - 11 GRADE;25;Producao Final Minerio
CW-117;15 BAL - 11 GRADE;51;Producao Final Minerio
CW-117;15 BAL - 11 GRADE;42;Producao Final Minerio
CW-117;15 BAL - 11 GRADE;39;Producao Final Minerio
CW-117;16 BAL - 11 GRADE;19;Producao Final Minerio
CW-117;22 SER - 11 GRADE;88;Producao Final Minerio
CW-117;22 SER - 11 GRADE;91;Producao Final Minerio
CW-117;22 SER - 11 GRADE;74;Producao Final Minerio
CW-117;22 SER - 11 GRADE;91;Producao Final Minerio
CW-117;22 SER - 11 GRADE;102;Producao Final Minerio
CW-120;12 LIG - 11 GRADE;19;Producao Final Minerio
CW-120;12 LIG - 11 GRADE;15;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;34;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;28;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;20;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;30;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;29;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;25;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;28;Producao Final Minerio
